fighter_name,Height,Weight,Reach,Stance,DOB,year
AJ Fonseca,162.56,65.77083999999999,,,,
AJ Matthews,180.34,83.91452,,,,
AJ McKee,177.8,65.77083999999999,,,,
AJ Siscoe,170.18,61.23492,,,,
Aalon Cruz,182.88,65.77083999999999,,,,
Aaron Brink,190.5,92.98636,,Orthodox,"Nov 12, 1974",1974.0
Aaron Ely,172.72,61.23492,,,"Mar 18, 1989",1989.0
Aaron Jeffery,187.96,83.91452,,,"Nov 14, 1992",1992.0
Aaron Lanfranco,,70.30676,,,"Aug 26, 1986",1986.0
Aaron Miller,175.26,65.77083999999999,,,,
Aaron Phillips,175.26,61.23492,177.8,Southpaw,"Aug 05, 1989",1989.0
Aaron Riley,172.72,70.30676,175.26,Southpaw,"Dec 09, 1980",1980.0
Aaron Rosa,193.04,92.98636,198.12,Orthodox,"May 28, 1983",1983.0
Aaron Simpson,182.88,77.11064,185.42000000000002,Orthodox,"Jul 20, 1974",1974.0
Aaron Trujillo,165.1,56.699,,,,
Aaron Wetherspoon,,77.11064,,,,
Aaron Wilkinson,177.8,70.30676,,,"Jan 31, 1987",1987.0
Abdul Razak Alhassan,177.8,77.11064,185.42000000000002,Orthodox,"Aug 11, 1985",1985.0
Abdul-Kerim Edilov,187.96,92.98636,198.12,Orthodox,"Nov 25, 1991",1991.0
Abel Cullum,170.18,63.049288,,Orthodox,"Apr 21, 1987",1987.0
Abel Trujillo,172.72,70.30676,177.8,Orthodox,"Sep 18, 1983",1983.0
Abner Lloveras,180.34,70.30676,180.34,,"Sep 04, 1982",1982.0
Abongo Humphrey,180.34,92.98636,,Orthodox,,
Abram Torres,177.8,77.11064,,,"Oct 29, 1982",1982.0
Abu Azaitar,175.26,83.91452,193.04,Orthodox,"Mar 10, 1986",1986.0
Achmed Labasanov,190.5,97.52228,,Orthodox,"Apr 24, 1978",1978.0
Adam Antolin,165.1,56.699,160.02,Orthodox,"Feb 28, 1982",1982.0
Adam Cella,187.96,77.11064,198.12,,"Jun 26, 1985",1985.0
Adam Hunter,185.42,83.91452,185.42000000000002,Orthodox,"Oct 16, 1983",1983.0
Adam Khaliev,182.88,77.11064,,Orthodox,"Apr 16, 1984",1984.0
Adam Lynn,177.8,70.30676,,Orthodox,,
Adam Meredith,187.96,77.11064,,,,
Adam Milstead,190.5,92.98636,193.04,Orthodox,"Jul 03, 1987",1987.0
Adam Piccolotti,180.34,70.30676,,,"Oct 23, 1988",1988.0
Adam Schindler,172.72,70.30676,,,"May 19, 1983",1983.0
Adam Smith,,,,,,
Adam Steele,,77.11064,,,,
Adam Wieczorek,195.57999999999998,113.398,205.74,Orthodox,"Feb 05, 1992",1992.0
Adam Yandiev,175.26,83.91452,187.96,Orthodox,"Aug 07, 1988",1988.0
Adin Duenas,167.64000000000001,65.77083999999999,,,"Jul 02, 1988",1988.0
Adlan Amagov,187.96,77.11064,193.04,Orthodox,"Oct 30, 1986",1986.0
Adli Edwards,,65.77083999999999,,,"Aug 28, 1989",1989.0
Adrian Diaz,177.8,65.77083999999999,,Southpaw,"Apr 26, 1988",1988.0
Adrian Serrano,172.72,77.11064,,,"Dec 23, 1963",1963.0
Adriano Martins,177.8,70.30676,182.88,Southpaw,"Dec 16, 1982",1982.0
Adriano Santos,,,,,,
Adrienna Jenkins,172.72,65.77083999999999,,,"Jul 22, 1981",1981.0
Aiemann Zahabi,172.72,61.23492,172.72,Orthodox,"Nov 19, 1987",1987.0
Aisling Daly,157.48000000000002,52.16308,162.56,,"Dec 24, 1987",1987.0
Aji Susilo,177.8,70.30676,,,,
Akbarh Arreola,177.8,70.30676,180.34,Southpaw,"Jan 14, 1983",1983.0
Akihiro Gono,170.18,77.11064,172.72,Switch,"Oct 07, 1974",1974.0
Akihito Tanaka,,,,Southpaw,,
Akira Corassani,172.72,65.77083999999999,172.72,Orthodox,"Aug 27, 1982",1982.0
Akira Kikuchi,172.72,70.30676,,Orthodox,"Jul 23, 1978",1978.0
Akira Shoji,172.72,88.45044,,Orthodox,"Jan 31, 1974",1974.0
Akitoshi Tamura,175.26,61.23492,177.8,Orthodox,"May 31, 1980",1980.0
Akiyo Nishiura,172.72,63.049288,,Southpaw,"Aug 08, 1983",1983.0
Al Iaquinta,177.8,70.30676,177.8,Orthodox,"Apr 30, 1987",1987.0
Alan Belcher,187.96,83.91452,185.42000000000002,Orthodox,"Apr 24, 1984",1984.0
Alan Gomez,,70.30676,,,,
Alan Hiro,165.1,61.23492,,Orthodox,"Apr 04, 1986",1986.0
Alan Jouban,182.88,77.11064,185.42000000000002,Southpaw,"Nov 25, 1981",1981.0
Alan Omer,177.8,65.77083999999999,180.34,Orthodox,"Sep 14, 1988",1988.0
Alan Patrick,180.34,70.30676,187.96,Southpaw,"Jul 19, 1983",1983.0
Alavutdin Gadjiev,187.96,83.91452,,Orthodox,"Jun 23, 1982",1982.0
Albert Cheng,180.34,77.11064,,Orthodox,"Feb 07, 1985",1985.0
Albert Morales,175.26,61.23492,182.88,Orthodox,"May 25, 1991",1991.0
Albert Rios,172.72,65.77083999999999,,,,
Albert Tumenov,180.34,77.11064,185.42000000000002,Orthodox,"Dec 26, 1991",1991.0
Alberta Cerra Leon,172.72,107.954896,,,,
Alberto Crane,165.1,70.30676,,Orthodox,"Jul 14, 1976",1976.0
Alberto Mina,182.88,77.11064,195.58,Orthodox,"May 02, 1982",1982.0
Alberto Uda,190.5,83.91452,195.58,Orthodox,"Aug 08, 1984",1984.0
Alejandro Garcia,170.18,65.77083999999999,,,,
Alejandro Perez,167.64000000000001,61.23492,170.18,Orthodox,"Sep 02, 1989",1989.0
Alejandro Villalobos,170.18,65.77083999999999,,,"Oct 26, 1979",1979.0
Aleksa Camur,182.88,92.98636,,,"Sep 25, 1995",1995.0
Aleksandar Rakic,193.04,92.98636,198.12,Orthodox,"Feb 06, 1992",1992.0
Aleksander Emelianenko,198.12,115.66596,,Orthodox,"Aug 02, 1981",1981.0
Aleksei Kunchenko,172.72,77.11064,177.8,Orthodox,"May 02, 1984",1984.0
Aleksei Oleinik,187.96,108.86207999999999,203.2,Orthodox,"Jun 20, 1977",1977.0
Alen Amedovski,177.8,83.91452,187.96,Orthodox,"Apr 06, 1988",1988.0
Alessandro Ricci,180.34,70.30676,175.26,Orthodox,"Jul 21, 1982",1982.0
Alessio Di Chirico,182.88,83.91452,187.96,Orthodox,"Dec 12, 1989",1989.0
Alessio Sakara,182.88,83.91452,182.88,Orthodox,"Sep 02, 1981",1981.0
Alex Andrade,180.34,90.7184,,Orthodox,"May 14, 1974",1974.0
Alex Caceres,177.8,65.77083999999999,185.42000000000002,Southpaw,"Jun 20, 1988",1988.0
Alex Chambers,160.02,52.16308,160.02,,"Oct 25, 1978",1978.0
Alex Crispin,,70.30676,,,,
Alex Da Silva,172.72,70.30676,185.42000000000002,Orthodox,"Feb 04, 1996",1996.0
Alex Dunworth,172.72,70.30676,,,,
Alex Enlund,177.8,65.77083999999999,185.42000000000002,Orthodox,"May 27, 1987",1987.0
Alex Garcia,175.26,77.11064,182.88,Orthodox,"Jul 14, 1987",1987.0
Alex Gilpin,170.18,65.77083999999999,182.88,Orthodox,"Mar 26, 1992",1992.0
Alex Gorgees,187.96,70.30676,187.96,Switch,"Aug 11, 1995",1995.0
Alex Higley,177.8,65.77083999999999,,,,
Alex Huddleston,200.66,115.212368,,,"Aug 11, 1986",1986.0
Alex Hunter,175.26,102.511792,,Orthodox,,
Alex Karalexis,172.72,70.30676,167.64000000000001,Orthodox,"Sep 20, 1977",1977.0
Alex Morono,180.34,77.11064,182.88,Orthodox,"Aug 16, 1990",1990.0
Alex Nicholson,193.04,83.91452,205.74,Orthodox,"May 02, 1990",1990.0
Alex Oliveira,180.34,77.11064,193.04,Orthodox,"Feb 21, 1988",1988.0
Alex Perez,167.64000000000001,61.23492,165.1,Orthodox,"Mar 21, 1992",1992.0
Alex Reyes,180.34,77.11064,185.42000000000002,Orthodox,"Oct 02, 1986",1986.0
Alex Schoenauer,190.5,83.91452,,Orthodox,"May 05, 1976",1976.0
Alex Serdyukov,187.96,77.11064,187.96,Orthodox,"May 24, 1980",1980.0
Alex Soto,172.72,61.23492,180.34,Southpaw,"Feb 15, 1984",1984.0
Alex Stiebling,187.96,92.98636,,Southpaw,,
Alex Torres,177.8,65.77083999999999,177.8,Orthodox,"May 29, 1988",1988.0
Alex White,182.88,70.30676,180.34,Southpaw,"Oct 22, 1988",1988.0
Alex Zuniga,,65.77083999999999,,,,
Alexa Grasso,165.1,52.16308,167.64000000000001,Orthodox,"Aug 09, 1993",1993.0
Alexander Crispim,,65.77083999999999,,,,
Alexander Gustafsson,195.57999999999998,92.98636,200.66,Orthodox,"Jan 15, 1987",1987.0
Alexander Hernandez,175.26,70.30676,182.88,Orthodox,"Oct 01, 1992",1992.0
Alexander Munoz,175.26,70.30676,,Switch,"Feb 27, 1990",1990.0
