R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,win_by_Decision,win_by_KO,win_by_Submission,win_by_Other,R_SIG_STR._att,R_SIG_STR._landed,B_SIG_STR._att,B_SIG_STR._landed,R_TOTAL_STR._att,R_TOTAL_STR._landed,B_TOTAL_STR._att,B_TOTAL_STR._landed,R_TD_att,R_TD_landed,B_TD_att,B_TD_landed,R_HEAD_att,R_HEAD_landed,B_HEAD_att,B_HEAD_landed,R_BODY_att,R_BODY_landed,B_BODY_att,B_BODY_landed,R_LEG_att,R_LEG_landed,B_LEG_att,B_LEG_landed,R_DISTANCE_att,R_DISTANCE_landed,B_DISTANCE_att,B_DISTANCE_landed,R_CLINCH_att,R_CLINCH_landed,B_CLINCH_att,B_CLINCH_landed,R_GROUND_att,R_GROUND_landed,B_GROUND_att,B_GROUND_landed,weight_class,No_of_rounds,total_time_fought(seconds),total_time_fought(minutes),R_Stance,R_DOB,R_Height,R_Reach,R_Weight,B_Stance,B_DOB,B_Height,B_Reach,B_Weight,R_age,B_age,fight_year
Henry Cejudo,Marlon Moraes,0,0,0.52,0.47,0.25,0.0,1,0,1,0,0,0,KO/TKO,3,291,5 Rnd (5-5-5-5-5),Marc Goddard,2019-06-08,"Chicago, Illinois, USA",UFC Bantamweight Title Bout,Henry Cejudo,False,True,False,False,171,90,119,57,182,99,121,59,4,1,2,0,150,73,89,35,16,13,8,7,5,4,22,15,118,45,116,54,23,19,2,2,30,26,1,1,Bantamweight,5,891,14.85,Orthodox,1987-02-09,162.56,162.56,135.0,Orthodox,1988-04-26,167.64000000000001,170.18,135.0,32.0,31.0,2019
Valentina Shevchenko,Jessica Eye,1,0,0.72,0.16,1.0,0.0,1,0,3,0,0,0,KO/TKO,2,26,5 Rnd (5-5-5-5-5),Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",UFC Women's Flyweight Title Bout,Valentina Shevchenko,False,True,False,False,11,8,12,2,40,37,52,42,2,2,0,0,5,4,7,0,6,4,2,0,0,0,3,2,8,5,12,2,2,2,0,0,1,1,0,0,Women's Flyweight,5,326,5.433333333333334,Southpaw,1988-03-07,165.1,167.64000000000001,125.0,Orthodox,1986-07-27,167.64000000000001,167.64000000000001,125.0,31.0,33.0,2019
Tony Ferguson,Donald Cerrone,0,0,0.52,0.36,0.0,1.0,0,0,0,0,0,0,TKO - Doctor's Stoppage,2,300,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Lightweight Bout,Tony Ferguson,False,True,False,False,200,104,185,68,200,104,185,68,0,0,1,1,144,65,152,43,37,25,23,15,19,14,10,10,198,103,184,68,2,1,1,0,0,0,0,0,Lightweight,3,600,10.0,Orthodox,1984-02-12,180.34,193.04,155.0,Orthodox,1983-03-29,185.42,185.42000000000002,155.0,35.0,36.0,2019
Jimmie Rivera,Petr Yan,0,2,0.38,0.29,0.0,0.33,0,0,0,1,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Bantamweight Bout,Petr Yan,True,False,False,False,192,73,189,56,195,76,192,58,3,0,3,1,145,42,166,40,24,15,19,13,23,16,4,3,173,60,167,42,15,9,12,10,4,4,10,4,Bantamweight,3,900,15.0,Orthodox,1989-06-29,162.56,172.72,135.0,Switch,1993-02-11,170.18,170.18,135.0,30.0,26.0,2019
Tai Tuivasa,Blagoy Ivanov,0,1,0.44,0.59,0.0,1.0,0,0,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Heavyweight Bout,Blagoy Ivanov,True,False,False,False,144,64,123,73,146,66,131,81,0,0,2,2,114,39,114,65,7,6,8,7,23,19,1,1,126,50,111,62,18,14,6,5,0,0,6,6,Heavyweight,3,900,15.0,Southpaw,1993-03-16,187.96,190.5,264.0,Southpaw,1986-10-09,180.34,185.42000000000002,250.0,26.0,33.0,2019
Tatiana Suarez,Nina Ansaroff,0,0,0.52,0.48,0.3,0.0,0,0,2,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Women's Strawweight Bout,Tatiana Suarez,True,False,False,False,142,75,99,48,166,95,105,54,13,4,0,0,85,29,66,31,29,22,26,15,28,24,7,2,100,42,89,39,7,7,5,4,35,26,5,5,Women's Strawweight,3,900,15.0,,1990-12-19,165.1,167.64000000000001,115.0,Orthodox,1985-12-03,165.1,162.56,115.0,29.0,34.0,2019
Aljamain Sterling,Pedro Munhoz,0,0,0.49,0.39,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Bantamweight Bout,Aljamain Sterling,True,False,False,False,349,174,265,105,350,175,269,108,7,0,0,0,250,123,159,44,73,36,64,29,26,15,42,32,338,172,257,102,11,2,8,3,0,0,0,0,Bantamweight,3,900,15.0,Orthodox,1989-07-31,170.18,180.34,135.0,Orthodox,1986-09-07,167.64000000000001,165.1,135.0,30.0,33.0,2019
Karolina Kowalkiewicz,Alexa Grasso,0,0,0.38,0.4,0.0,0.0,0,1,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Women's Strawweight Bout,Alexa Grasso,True,False,False,False,232,90,369,148,234,92,384,163,0,0,0,0,186,55,289,92,33,27,46,33,13,8,34,23,217,79,339,123,15,11,30,25,0,0,0,0,Women's Strawweight,3,900,15.0,Orthodox,1985-10-15,160.02,162.56,115.0,Orthodox,1993-08-09,165.1,167.64000000000001,115.0,34.0,26.0,2019
Ricardo Lamas,Calvin Kattar,0,1,0.41,0.53,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,246,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Featherweight Bout,Calvin Kattar,False,True,False,False,29,12,41,22,29,12,41,22,1,0,0,0,12,2,28,11,5,4,13,11,12,6,0,0,29,12,34,16,0,0,2,2,0,0,5,4,Featherweight,3,246,4.1,Orthodox,1982-05-21,172.72,180.34,145.0,Orthodox,1988-03-26,180.34,182.88,145.0,37.0,31.0,2019
Yan Xiaonan,Angela Hill,0,0,0.37,0.49,1.0,0.33,0,1,1,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Women's Strawweight Bout,Yan Xiaonan,True,False,False,False,249,94,144,71,264,105,151,78,1,1,3,1,199,64,110,44,22,11,26,21,28,19,8,6,229,83,127,56,17,8,15,13,3,3,2,2,Women's Strawweight,3,900,15.0,Orthodox,1989-06-16,165.1,160.02,115.0,Orthodox,1985-01-12,160.02,162.56,115.0,30.0,34.0,2019
